name,id,other_index
PC Desktops,70,miscellaneous residential loads
PC Laptops,71,miscellaneous residential loads
PC Monitors,72,miscellaneous residential loads
PRIMARY,166,AEO aluminum industry throughput categories
P_FORM,142,AEO glass industry throughput categories
Perngrass,45,biomass - domestic cellulosic feedstocks
Pool Heaters and Pumps,79,miscellaneous residential loads
Pulping liquors,57,biomass - domestic cellulosic feedstocks
RH,35,biomass - domestic cellulosic feedstocks
RS,36,biomass - domestic cellulosic feedstocks
Rechargeable Devices,74,miscellaneous residential loads
ResinSynth,171,AEO Chemical Process Subset
SCT,37,biomass - domestic cellulosic feedstocks
SECONDARY,165,AEO aluminum industry throughput categories
SEMI_OTHER,164,AEO aluminum industry throughput categories
SEMI_SHEET,163,AEO aluminum industry throughput categories
Security Systems,80,miscellaneous residential loads
Set-top Boxes,66,miscellaneous residential loads
Sorghum-stbl,42,biomass - domestic cellulosic feedstocks
Spas,81,miscellaneous residential loads
Televisions,65,miscellaneous residential loads
UWDWCD_ST,48,biomass - domestic cellulosic feedstocks
UWDWMS_ST,49,biomass - domestic cellulosic feedstocks
Video Game Consoles,69,miscellaneous residential loads
WASTE_P,121,AEO paper industry throughput categories
WD,38,biomass - domestic cellulosic feedstocks
WET,151,AEO cement industry throughput categories
WOOD,125,AEO paper industry throughput categories
Wheat-strw,43,biomass - domestic cellulosic feedstocks
Wood 2nd Heat,88,residential secondary heat
Woody,54,biomass - domestic cellulosic feedstocks
assembly,17,building types
buildings - hvac,7,end uses
buildings - lighting,6,end uses
buildings - other,2,end uses
buildings - support,8,end uses
central,63,air conditioning type
class 3,97,medium duty truck class
class 4-6,98,medium duty truck class
commuter,176,commuter rail modes
education,18,building types
electro-chemical processes,139,Industry End-Uses
exterior,96,residential lighting category
feedstocks,141,Industry End-Uses
food sales,19,building types
food service,20,building types
general service lamps,93,residential lighting category
health,21,building types
heat,136,Industry End-Uses
hvac,133,Industry End-Uses
hvac,128,Process-Specific Industry End-Uses
intercity,174,commuter rail modes
intercity,100,bus types
irrigation,4,end uses
irrigation,104,agricultural end-uses
light commercial trucks,103,light duty truck class
light trucks,102,light duty truck class
lighting,127,Process-Specific Industry End-Uses
lighting,132,Industry End-Uses
linear fluorescents,95,residential lighting category
lodging,22,building types
machine drive,138,Industry End-Uses
merc/service,23,building types
mobile home,30,housing types
multi-family,29,housing types
office-large,24,building types
office-small,25,building types
other,106,agricultural end-uses
other,140,Industry End-Uses
other,26,building types
proccess - heat,9,end uses
proccess - refrig,10,end uses
process,131,Process-Specific Industry End-Uses
"process - aggregated, applies to paper, cement, fe & steel, glass and al ",14,end uses
process - electro,12,end uses
process - feedstock,15,end uses
process - machdrv,11,end uses
process - other,13,end uses
reflectors,94,residential lighting category
refrigeration,137,Industry End-Uses
room,64,air conditioning type
school,101,bus types
single-family,28,housing types
steam,16,end uses
support,129,Process-Specific Industry End-Uses
support,134,Industry End-Uses
total,1,total
transit,99,bus types
transit,175,commuter rail modes
transport,130,Process-Specific Industry End-Uses
transport,135,Industry End-Uses
transportation,105,agricultural end-uses
"undifferentiated use, applies to all mining industries, construction and refining",5,end uses
warehouse,27,building types
