supply_tech,definition,reference_tech_id,currency,geography,currency_year,energy_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes,gau,demand_sector,resource_bin,vintage,value,sensitivity
gas combined cycle power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,,mx,,,2005.0,3.575,
gas combined cycle power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,,mx,,,2006.0,3.2,
gas combined cycle power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,,mx,,,2007.0,2.69,
gas combined cycle power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,,mx,,,2010.0,2.725,
gas combined cycle power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,,mx,,,2014.0,3.695,
gas combined cycle power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,,mx,,,2015.0,3.02,
gas combined cycle power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,,mx,,,2016.0,4.43,
gas combined cycle power plant with CCS,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,Advanced CC with CCS,mx,,,2014.0,6.8885,
gas combustion turbine IPP cogen power plant,relative,29.0,,,,,,,,,,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",,,,,,
gas combustion turbine IPP cogen power plant w/ccs,absolute,,USD,mexico,2007.0,mmBtu,linear_interpolation,nearest,,,,,,mx,,,2015.0,44.44655796,
gas combustion turbine cogen power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2014.0,9.7025,
gas combustion turbine cogen power plant w/ccs,absolute,,USD,mexico,2007.0,mmBtu,linear_interpolation,nearest,,,,,,mx,,,2015.0,40.59281016,
gas combustion turbine power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,Conventional CT,mx,,,1970.0,3.19,
gas combustion turbine power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,Conventional CT,mx,,,1971.0,3.2,
gas combustion turbine power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,Conventional CT,mx,,,1972.0,3.19,
gas combustion turbine power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,Conventional CT,mx,,,1975.0,3.19,
gas combustion turbine power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,Conventional CT,mx,,,1998.0,3.2,
gas combustion turbine power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,Conventional CT,mx,,,1999.0,3.2,
gas combustion turbine power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,Conventional CT,mx,,,2000.0,3.211702128,
gas combustion turbine power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,Conventional CT,mx,,,2005.0,3.19,
gas combustion turbine power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,Conventional CT,mx,,,2014.0,4.19,
gas steam turbine IPP cogen power plant,relative,30.0,,,,,,,,,,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",,,,,,
gas steam turbine IPP cogen power plant w/ccs,absolute,,USD,mexico,2007.0,mmBtu,linear_interpolation,nearest,,,,,,mx,,,2015.0,80.2864125,
gas steam turbine cogen power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2000.0,3.35,
gas steam turbine cogen power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2014.0,2.73,
gas steam turbine cogen power plant w/ccs,absolute,,USD,mexico,2007.0,mmBtu,linear_interpolation,nearest,,,,,,mx,,,2015.0,27.75,
gas steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,used Biomass fired boiler as representative steam tech,mx,,,2000.0,3.94,
gas steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,used Biomass fired boiler as representative steam tech,mx,,,2004.0,2.2,
gas steam turbine power plant,absolute,,USD,mexico,1999.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,used Biomass fired boiler as representative steam tech,mx,,,2016.0,3.4,
geothermal power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1973.0,0.06,
geothermal power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1982.0,0.06,
geothermal power plant,absolute,,USD,mexico,2014.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,2000.0,0.06,
landfill gas cogen power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2015.0,13.11,
landfill gas cogen power plant w/ccs,absolute,,USD,mexico,2007.0,mmBtu,linear_interpolation,nearest,,,,,,mx,,,2015.0,141.4769454,
landfill gas to electricity power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2015.0,8.74,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1905.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1910.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1911.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1912.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1919.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1951.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1953.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1954.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1955.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1957.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1959.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1960.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1962.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1963.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1964.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1965.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1966.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1969.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1973.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1976.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1977.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1980.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1986.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1987.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1991.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1993.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1994.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1995.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,1996.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,2000.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,2007.0,0.0,
large hydro power plant,absolute,,USD,mexico,2013.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,,,mx,,,2012.0,0.0,
lignocellulosic anaerobic digester w/ccs,absolute,,USD,mexico,2007.0,mmBtu,linear_interpolation,nearest,,,,,,mx,,,2015.0,19.86,
municipal solid waste cogen power plant,absolute,,USD,mexico,2012.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2012.0,1.225,
municipal solid waste cogen power plant w/ccs,absolute,,USD,mexico,2007.0,mmBtu,linear_interpolation,nearest,,,,,,mx,,,2015.0,46.7804988,
municipal solid waste power plant,absolute,,USD,mexico,2012.0,megawatt_hour,linear_interpolation,nearest,,linear,0.0025,http://www.eia.gov/forecasts/capitalcost/pdf/updated_capcost.pdf,"Thermal resource O&M are based on comparable gen technologies (i.e. steam turbine, combustion turbine, etc.). Cogen resources are adjusted by power to heat ratio to put O&M in terms of steam output. ",mx,,,2000.0,3.5294736839999996,
